Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,is_specialty
Colombia,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,11.8,0,0.0,green,3,1
Taiwan,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,10.5,0,0.0,blue-green,0,1
Laos,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,10.4,0,0.0,yellowish,2,1
Costa Rica,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,11.8,0,0.0,green,0,1
Colombia,8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,11.6,0,2.0,yellow-green,2,1
Guatemala,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,10.7,0,0.0,green,2,1
Taiwan,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,9.1,0,0.0,green,0,1
Taiwan,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,10.0,0,0.0,yellow green,1,1
Taiwan,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,10.8,0,0.0,greenish,0,1
"Tanzania, United Republic Of",8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,11.0,0,0.0,greenish,0,1
Ethiopia,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,11.8,0,1.0,greenish,1,1
Guatemala,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,11.5,0,0.0,brownish,1,1
Taiwan,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,11.9,0,0.0,green,0,1
Ethiopia,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,11.6,0,3.0,yellow- green,2,1
Colombia,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,10.6,0,0.0,green,0,1
Taiwan,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,10.2,0,0.0,green,0,1
Ethiopia,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,11.3,0,2.0,green,2,1
Taiwan,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,10.3,0,0.0,yellow-green,0,1
Taiwan,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,11.0,0,0.0,brownish,1,1
"Tanzania, United Republic Of",8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,10.0,0,0.0,greenish,0,1
Guatemala,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,11.6,0,0.0,yellowish,0,1
Taiwan,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,10.4,0,0.0,green,0,1
Thailand,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,9.8,0,0.0,browish-green,5,1
Colombia,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,11.3,0,0.0,brownish,2,1
Taiwan,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,10.6,0,0.0,bluish-green,0,1
Brazil,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,11.3,2,0.0,green,3,1
Taiwan,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,9.1,0,0.0,green,2,1
Taiwan,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,10.6,0,0.0,green,0,1
Taiwan,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,10.2,0,0.0,blue-green,0,1
United States (Hawaii),8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,9.3,0,0.0,green,0,1
Taiwan,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,11.4,0,0.0,bluish-green,0,1
Taiwan,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,10.8,0,0.0,green,0,1
Taiwan,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,11.3,0,0.0,green,0,1
Ethiopia,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,9.9,0,2.0,green,3,1
Ethiopia,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,12.3,0,3.0,yellow green,4,1
Ethiopia,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,9.4,0,1.0,greenish,1,1
Taiwan,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,9.5,0,0.0,bluish-green,0,1
Taiwan,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,11.3,0,0.0,green,0,1
Kenya,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,9.2,0,0.0,greenish,1,1
Taiwan,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,10.3,0,0.0,bluish-green,0,1
Taiwan,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,10.0,0,0.0,brownish,0,1
Taiwan,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,10.5,0,0.0,greenish,0,1
Taiwan,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,10.0,0,0.0,pale yellow,5,1
Uganda,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,11.0,0,0.0,green,1,1
Taiwan,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,10.9,0,0.0,green,0,1
Taiwan,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,10.1,0,0.0,yellow green,0,1
Guatemala,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,9.9,0,1.0,green,1,1
Guatemala,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,11.3,0,0.0,green,4,1
Guatemala,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,11.7,0,3.0,green,1,1
Taiwan,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,9.5,0,0.0,green,2,1
Taiwan,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,9.7,0,0.0,brownish,0,1
Indonesia,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,11.9,0,3.0,bluish-green,2,1
Peru,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,10.7,0,0.0,greenish,0,1
"Tanzania, United Republic Of",7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,11.2,0,0.0,greenish,0,1
Taiwan,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,9.5,0,0.0,greenish,0,1
Taiwan,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,10.4,0,0.0,green,0,1
Brazil,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,11.2,0,1.0,green,5,1
Panama,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,10.3,0,1.0,bluish-green,5,1
Taiwan,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,10.0,0,0.0,blue-green,0,1
Guatemala,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,10.6,0,0.0,green,1,1
