Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,is_specialty
3,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,11.8,0,0.0,8,3,1
28,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,10.5,0,0.0,4,0,1
16,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,10.4,0,0.0,15,2,1
4,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,11.8,0,0.0,8,0,1
3,8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,11.6,0,2.0,14,2,1
9,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,10.7,0,0.0,8,2,1
28,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,9.1,0,0.0,8,0,1
28,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,10.0,0,0.0,12,1,1
28,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,10.8,0,0.0,9,0,1
29,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,11.0,0,0.0,9,0,1
8,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,11.8,0,1.0,9,1,1
9,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,11.5,0,0.0,7,1,1
28,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,11.9,0,0.0,8,0,1
8,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,11.6,0,3.0,13,2,1
3,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,10.6,0,0.0,8,0,1
28,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,10.2,0,0.0,8,0,1
8,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,11.3,0,2.0,8,2,1
28,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,10.3,0,0.0,14,0,1
28,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,11.0,0,0.0,7,1,1
29,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,10.0,0,0.0,9,0,1
9,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,11.6,0,0.0,15,0,1
28,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,10.4,0,0.0,8,0,1
30,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,9.8,0,0.0,6,5,1
3,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,11.3,0,0.0,7,2,1
28,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,10.6,0,0.0,5,0,1
0,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,11.3,2,0.0,8,3,1
28,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,9.1,0,0.0,8,2,1
28,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,10.6,0,0.0,8,0,1
28,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,10.2,0,0.0,4,0,1
33,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,9.3,0,0.0,8,0,1
28,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,11.4,0,0.0,5,0,1
28,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,10.8,0,0.0,8,0,1
28,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,11.3,0,0.0,8,0,1
8,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,9.9,0,2.0,8,3,1
8,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,12.3,0,3.0,12,4,1
8,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,9.4,0,1.0,9,1,1
28,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,9.5,0,0.0,5,0,1
28,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,11.3,0,0.0,8,0,1
15,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,9.2,0,0.0,9,1,1
28,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,10.3,0,0.0,5,0,1
28,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,10.0,0,0.0,7,0,1
28,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,10.5,0,0.0,9,0,1
28,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,10.0,0,0.0,10,5,1
31,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,11.0,0,0.0,8,1,1
28,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,10.9,0,0.0,8,0,1
28,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,10.1,0,0.0,12,0,1
9,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,9.9,0,1.0,8,1,1
9,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,11.3,0,0.0,8,4,1
9,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,11.7,0,3.0,8,1,1
28,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,9.5,0,0.0,8,2,1
28,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,9.7,0,0.0,7,0,1
13,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,11.9,0,3.0,5,2,1
25,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,10.7,0,0.0,9,0,1
29,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,11.2,0,0.0,9,0,1
28,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,9.5,0,0.0,9,0,1
28,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,10.4,0,0.0,8,0,1
0,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,11.2,0,1.0,8,5,1
23,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,10.3,0,1.0,5,5,1
28,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,10.0,0,0.0,4,0,1
9,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,10.6,0,0.0,8,1,1
9,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,10.9,0,3.0,14,2,1
4,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,10.0,0,1.0,8,2,1
28,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.6,0,0.0,9,0,1
28,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,11.5,0,0.0,8,0,1
22,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,9.9,1,0.0,8,2,1
28,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,11.2,0,0.0,8,2,1
28,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,10.3,0,0.0,8,0,1
36,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,11.6,0,0.0,7,0,1
4,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,11.7,0,1.0,8,0,1
28,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,11.3,0,0.0,5,0,1
11,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,0,0.0,8,3,1
8,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,10.9,0,0.0,8,9,1
28,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,10.2,0,0.0,8,0,1
28,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,10.1,0,0.0,5,1,1
9,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,9.2,0,1.0,8,5,1
33,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,10.1,3,0.0,14,7,1
8,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,11.0,0,5.0,12,4,1
7,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,10.3,0,0.0,7,4,1
3,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,11.6,0,0.0,8,1,1
13,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,11.5,0,1.0,4,1,1
9,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,10.0,0,0.0,8,1,1
17,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,12.1,0,0.0,4,0,1
11,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,10.2,0,0.0,8,2,1
9,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,11.0,0,3.0,8,2,1
28,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,10.8,0,0.0,9,2,1
28,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,10.6,0,0.0,11,0,1
9,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,11.0,0,1.0,8,2,1
9,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,11.0,0,2.0,8,2,1
11,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,9.4,0,0.0,8,0,1
29,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,0,0.0,9,3,1
8,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,11.3,1,1.0,8,1,1
29,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,11.6,0,0.0,9,2,1
3,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,13.3,0,2.0,8,3,1
4,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,9.5,0,0.0,8,2,1
9,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,11.9,0,0.0,9,0,1
9,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,10.0,0,1.0,8,2,1
30,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,11.6,0,0.0,15,3,1
3,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,11.9,0,1.0,8,1,1
9,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,10.8,0,0.0,8,4,1
9,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,10.9,0,1.0,9,4,1
8,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,12.0,0,0.0,8,12,1
