Acidity,Aftertaste,Aroma,Balance,Body,Category One Defects,Category Two Defects,Clean Cup,Color,Country of Origin,Flavor,Grading Date,Harvest Year,Moisture Percentage,Processing Method,Quakers,Region,Sweetness,Uniformity,Variety,altitud_limpia,dataset_source,quality_label
8.75,8.67,8.67,8.42,8.5,0,0,10.0,Green,Ethiopia,8.83,"April 4th, 2015",2014,0.12,Washed / Wet,0.0,guji-hambela,10.0,10.0,,2075.0,2018_volpatto,Specialty
8.58,8.5,8.75,8.42,8.42,0,1,10.0,Green,Ethiopia,8.67,"April 4th, 2015",2014,0.12,Washed / Wet,0.0,guji-hambela,10.0,10.0,Other,2075.0,2018_volpatto,Specialty
8.42,8.42,8.42,8.42,8.33,0,0,10.0,,Guatemala,8.5,"May 31st, 2010",,0.0,,0.0,,10.0,10.0,Bourbon,1700.0,2018_volpatto,Specialty
8.42,8.42,8.17,8.25,8.5,0,2,10.0,Green,Ethiopia,8.58,"March 26th, 2015",2014,0.11,Natural / Dry,0.0,oromia,10.0,10.0,,2000.0,2018_volpatto,Specialty
8.5,8.25,8.25,8.33,8.42,0,2,10.0,Green,Ethiopia,8.5,"April 4th, 2015",2014,0.12,Washed / Wet,0.0,guji-hambela,10.0,10.0,Other,2075.0,2018_volpatto,Specialty
8.5,8.42,8.58,8.33,8.25,0,1,10.0,Bluish-Green,Brazil,8.42,"September 3rd, 2013",2013,0.11,Natural / Dry,0.0,,10.0,10.0,,,2018_volpatto,Specialty
8.5,8.33,8.42,8.25,8.25,0,0,10.0,Bluish-Green,Peru,8.5,"September 17th, 2012",2012,0.11,Washed / Wet,0.0,,10.0,10.0,Other,,2018_volpatto,Specialty
8.42,8.5,8.25,8.5,8.33,0,0,10.0,,Ethiopia,8.33,"September 2nd, 2010",March 2010,0.03,,0.0,oromia,9.33,10.0,,1635.0,2018_volpatto,Specialty
8.42,8.58,8.67,8.42,8.33,0,0,10.0,,Ethiopia,8.67,"September 2nd, 2010",March 2010,0.03,,0.0,oromiya,9.33,9.33,,1635.0,2018_volpatto,Specialty
8.5,8.5,8.08,8.42,7.67,0,4,10.0,Green,Ethiopia,8.58,"March 30th, 2015",2014,0.1,Natural / Dry,0.0,"snnp/kaffa zone,gimbowereda",10.0,10.0,Other,1822.5,2018_volpatto,Specialty
8.5,8.25,8.17,8.17,7.75,0,1,10.0,,Ethiopia,8.67,"March 27th, 2015",2014,0.1,Natural / Dry,0.0,oromia,10.0,10.0,,1905.0,2018_volpatto,Specialty
8.33,8.17,8.25,8.17,8.08,0,0,10.0,,United States,8.42,"March 13th, 2015",2014,0.0,Washed / Wet,0.0,antioquia,10.0,10.0,Other,1872.0,2018_volpatto,Specialty
8.42,8.33,8.08,8.08,8.0,0,0,10.0,,United States,8.67,"March 13th, 2015",2014,0.0,Washed / Wet,0.0,antioquia,10.0,10.0,Other,1943.0,2018_volpatto,Specialty
8.25,8.08,8.33,8.0,8.25,0,2,10.0,,United States (Hawaii),8.42,"May 31st, 2010",Sept 2009 - April 2010,0.0,,0.0,kona,10.0,10.0,,609.6,2018_volpatto,Specialty
8.25,8.5,8.25,8.75,8.58,0,2,10.0,,Ethiopia,8.33,"August 31st, 2010",March 2010,0.05,,0.0,oromiya,9.33,9.33,,1635.0,2018_volpatto,Specialty
8.17,8.58,8.0,8.0,8.17,0,0,10.0,,United States,8.5,"March 13th, 2015",2014,0.0,Washed / Wet,0.0,antioquia,10.0,10.0,Other,2080.0,2018_volpatto,Specialty
7.75,7.83,8.33,8.42,8.5,0,0,10.0,,Indonesia,8.25,"May 31st, 2010",May-August,0.03,,0.0,sulawesi,10.0,10.0,,1500.0,2018_volpatto,Specialty
8.33,8.25,8.17,8.33,8.42,0,2,10.0,,Ethiopia,8.33,"June 16th, 2010",2009/2010,0.05,,0.0,yirgacheffe,9.33,9.33,,,2018_volpatto,Specialty
8.17,8.08,8.42,8.0,7.92,0,0,10.0,Green,China,8.25,"April 7th, 2016",2015,0.1,Washed / Wet,0.0,yunnan,10.0,10.0,Catimor,1450.0,2018_volpatto,Specialty
8.17,8.0,8.17,8.33,8.08,0,8,10.0,,Ethiopia,8.17,"March 25th, 2015",2014,0.0,Natural / Dry,0.0,gedio,10.0,10.0,Ethiopian Yirgacheffe,1850.0,2018_volpatto,Specialty
