Acidity,Aftertaste,Aroma,Balance,Body,Category One Defects,Category Two Defects,Clean Cup,Color,Country of Origin,Flavor,Harvest Year,Processing Method,Sweetness,Uniformity,Variety,altitud_limpia,Specialty
8.75,8.67,8.67,8.42,8.5,0,0,10.0,Green,Ethiopia,8.83,2014,Washed / Wet,10.0,10.0,,2075.0,Specialty
8.58,8.5,8.75,8.42,8.42,0,1,10.0,Green,Ethiopia,8.67,2014,Washed / Wet,10.0,10.0,Other,2075.0,Specialty
8.42,8.42,8.42,8.42,8.33,0,0,10.0,,Guatemala,8.5,,,10.0,10.0,Bourbon,1700.0,Specialty
8.42,8.42,8.17,8.25,8.5,0,2,10.0,Green,Ethiopia,8.58,2014,Natural / Dry,10.0,10.0,,2000.0,Specialty
8.5,8.25,8.25,8.33,8.42,0,2,10.0,Green,Ethiopia,8.5,2014,Washed / Wet,10.0,10.0,Other,2075.0,Specialty
8.5,8.42,8.58,8.33,8.25,0,1,10.0,Bluish-Green,Brazil,8.42,2013,Natural / Dry,10.0,10.0,,,Specialty
8.5,8.33,8.42,8.25,8.25,0,0,10.0,Bluish-Green,Peru,8.5,2012,Washed / Wet,10.0,10.0,Other,,Specialty
8.42,8.5,8.25,8.5,8.33,0,0,10.0,,Ethiopia,8.33,March 2010,,9.33,10.0,,1635.0,Specialty
8.42,8.58,8.67,8.42,8.33,0,0,10.0,,Ethiopia,8.67,March 2010,,9.33,9.33,,1635.0,Specialty
8.5,8.5,8.08,8.42,7.67,0,4,10.0,Green,Ethiopia,8.58,2014,Natural / Dry,10.0,10.0,Other,1822.5,Specialty
8.5,8.25,8.17,8.17,7.75,0,1,10.0,,Ethiopia,8.67,2014,Natural / Dry,10.0,10.0,,1905.0,Specialty
8.33,8.17,8.25,8.17,8.08,0,0,10.0,,United States,8.42,2014,Washed / Wet,10.0,10.0,Other,1872.0,Specialty
8.42,8.33,8.08,8.08,8.0,0,0,10.0,,United States,8.67,2014,Washed / Wet,10.0,10.0,Other,1943.0,Specialty
8.25,8.08,8.33,8.0,8.25,0,2,10.0,,United States (Hawaii),8.42,Sept 2009 - April 2010,,10.0,10.0,,609.6,Specialty
8.25,8.5,8.25,8.75,8.58,0,2,10.0,,Ethiopia,8.33,March 2010,,9.33,9.33,,1635.0,Specialty
8.17,8.58,8.0,8.0,8.17,0,0,10.0,,United States,8.5,2014,Washed / Wet,10.0,10.0,Other,2080.0,Specialty
7.75,7.83,8.33,8.42,8.5,0,0,10.0,,Indonesia,8.25,May-August,,10.0,10.0,,1500.0,Specialty
8.33,8.25,8.17,8.33,8.42,0,2,10.0,,Ethiopia,8.33,2009/2010,,9.33,9.33,,,Specialty
8.17,8.08,8.42,8.0,7.92,0,0,10.0,Green,China,8.25,2015,Washed / Wet,10.0,10.0,Catimor,1450.0,Specialty
8.17,8.0,8.17,8.33,8.08,0,8,10.0,,Ethiopia,8.17,2014,Natural / Dry,10.0,10.0,Ethiopian Yirgacheffe,1850.0,Specialty
8.5,8.08,8.0,8.0,8.25,0,0,10.0,,United States,8.25,2014,Washed / Wet,10.0,10.0,Other,2019.0,Specialty
8.17,8.0,8.08,8.33,8.0,0,2,10.0,Green,Costa Rica,8.25,2014,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
8.0,8.17,8.17,8.17,7.83,0,0,10.0,Green,Mexico,8.25,2012,Washed / Wet,10.0,10.0,Other,1320.0,Specialty
8.17,8.17,8.25,8.17,7.83,0,0,10.0,,United States,8.33,2014,Washed / Wet,10.0,10.0,Other,2112.0,Specialty
8.17,7.92,8.42,8.0,8.33,0,1,10.0,Bluish-Green,Ethiopia,8.17,2013,Natural / Dry,10.0,10.0,,,Specialty
8.0,8.0,8.5,8.0,8.0,0,2,10.0,Green,Brazil,8.5,2011,Natural / Dry,10.0,10.0,Bourbon,1250.0,Specialty
8.17,8.08,7.83,8.17,8.17,0,2,10.0,,Ethiopia,8.25,2009/2010,,10.0,10.0,,,Specialty
8.17,8.17,8.42,7.92,7.83,0,1,10.0,Green,Uganda,8.17,2013,Washed / Wet,10.0,10.0,Sl14,1950.0,Specialty
8.0,8.08,8.17,8.0,8.08,0,3,10.0,Green,Honduras,8.08,2016,,10.0,10.0,Caturra,1400.0,Specialty
8.25,8.0,8.0,8.17,8.0,0,0,10.0,Green,Taiwan,8.0,2015,Pulped Natural / Honey,10.0,10.0,Sumatra,1200.0,Specialty
8.33,8.0,7.92,8.08,8.0,0,2,10.0,,Nicaragua,8.25,,,10.0,10.0,,,Specialty
8.0,8.17,8.42,8.0,7.58,0,1,10.0,Bluish-Green,"Tanzania, United Republic Of",8.17,2012,Natural / Dry,10.0,10.0,,,Specialty
7.75,8.0,8.5,8.0,8.0,0,2,10.0,Green,Brazil,8.17,2011,Natural / Dry,10.0,10.0,Bourbon,1300.0,Specialty
8.08,8.0,8.17,8.0,7.83,0,0,10.0,Blue-Green,Costa Rica,7.83,2015/2016,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
8.0,7.92,8.0,8.08,8.08,0,3,10.0,Green,Ethiopia,8.08,2014,Natural / Dry,10.0,10.0,,1775.0,Specialty
8.25,8.0,8.08,7.92,7.92,0,1,10.0,Blue-Green,Kenya,8.0,2013,Washed / Wet,10.0,10.0,Sl34,1800.0,Specialty
7.92,8.0,8.08,7.83,7.92,1,4,10.0,,United States (Hawaii),8.17,2012,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.75,8.08,8.25,7.83,7.67,2,1,10.0,,United States (Hawaii),8.42,2010,,10.0,10.0,,,Specialty
8.08,8.08,7.92,8.17,8.08,0,2,10.0,,Ethiopia,7.75,2009/2010,,10.0,10.0,,,Specialty
8.0,8.0,7.67,8.08,8.17,0,0,10.0,,United States,8.17,2014,Washed / Wet,10.0,10.0,Other,1941.0,Specialty
8.25,7.83,7.83,7.92,7.58,1,9,10.0,Green,Thailand,8.33,2012,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
7.75,7.92,8.17,8.0,8.33,0,2,10.0,,Brazil,7.92,2010,,10.0,10.0,Yellow Bourbon,,Specialty
7.75,8.0,8.42,8.0,7.92,0,3,10.0,,Brazil,7.92,2010,,10.0,10.0,Yellow Bourbon,,Specialty
8.08,7.75,8.08,7.83,7.75,0,0,10.0,Green,Taiwan,8.17,2015,Semi-Washed / Semi-Pulped,10.0,10.0,Bourbon,1000.0,Specialty
8.0,8.0,8.08,8.08,7.83,0,2,10.0,Bluish-Green,Kenya,8.08,2014,Natural / Dry,10.0,10.0,Sl28,1754.0,Specialty
8.0,8.0,8.33,8.0,7.75,0,2,10.0,Blue-Green,Brazil,8.0,2011,Semi-Washed / Semi-Pulped,10.0,10.0,Bourbon,1250.0,Specialty
7.92,7.83,8.08,7.92,8.08,0,0,10.0,,Uganda,8.08,2014,Semi-Washed / Semi-Pulped,10.0,10.0,,,Specialty
8.08,7.83,7.75,8.17,8.08,1,1,10.0,Green,Colombia,7.92,2013,Washed / Wet,10.0,10.0,Caturra,1200.0,Specialty
8.5,7.83,7.92,7.92,7.5,0,1,10.0,Green,Kenya,8.17,2013,Washed / Wet,10.0,10.0,Sl28,1860.0,Specialty
8.08,7.83,8.25,7.92,8.0,0,0,10.0,Blue-Green,Uganda,8.0,2012,Washed / Wet,10.0,10.0,Other,1650.0,Specialty
8.25,8.0,7.75,8.0,8.0,0,4,10.0,,Ethiopia,8.08,2009/2010,,10.0,10.0,,1750.0,Specialty
8.0,7.75,8.33,7.83,7.75,0,0,10.0,,United States (Hawaii),8.17,Fall 2009,,10.0,10.0,,426.72,Specialty
8.08,7.92,7.92,7.83,8.08,0,3,10.0,Green,Guatemala,8.08,2016,Washed / Wet,10.0,10.0,Bourbon,,Specialty
8.08,7.92,8.17,7.75,7.83,0,0,10.0,Green,Uganda,8.17,2013,Natural / Dry,10.0,10.0,Sl14,1650.0,Specialty
8.17,8.0,8.0,8.0,7.83,1,0,10.0,Blue-Green,Colombia,8.0,2013,Washed / Wet,10.0,10.0,Caturra,1800.0,Specialty
8.08,7.92,8.0,8.0,7.83,0,0,10.0,Bluish-Green,Panama,8.0,2017,Washed / Wet,10.0,10.0,Gesha,1600.0,Specialty
8.08,7.92,7.83,7.92,8.0,0,4,10.0,Green,Ethiopia,8.08,2014,Washed / Wet,10.0,10.0,,1900.0,Specialty
8.17,8.0,7.83,8.0,7.83,0,3,10.0,Green,Guatemala,8.0,2012,Washed / Wet,10.0,10.0,Bourbon,1524.0,Specialty
8.33,7.83,8.0,7.83,7.83,0,1,10.0,Bluish-Green,Guatemala,8.0,2012,Washed / Wet,10.0,10.0,Catuai,1417.32,Specialty
8.17,7.83,7.83,8.0,7.92,0,7,10.0,,Ethiopia,8.0,2017,Natural / Dry,10.0,10.0,Caturra,,Specialty
8.08,8.0,8.0,7.75,7.92,4,6,10.0,Green,Peru,8.0,2013,Washed / Wet,10.0,10.0,,,Specialty
8.33,7.83,8.33,8.25,8.0,0,1,9.33,Bluish-Green,Papua New Guinea,8.42,2012,Washed / Wet,10.0,9.33,,1700.0,Specialty
7.92,8.0,7.92,7.83,7.75,0,3,10.0,Blue-Green,El Salvador,8.17,2013,Washed / Wet,10.0,10.0,Bourbon,1500.0,Specialty
7.75,8.0,7.83,8.17,7.92,0,0,10.0,,El Salvador,8.0,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Bourbon,1350.0,Specialty
7.75,7.92,7.83,8.0,8.08,0,1,10.0,,United States (Hawaii),8.0,2012,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.83,7.83,8.0,8.58,7.67,2,2,10.0,,Panama,7.75,2014,Natural / Dry,10.0,10.0,Caturra,1680.0,Specialty
8.08,7.83,7.92,7.92,7.83,0,3,10.0,Green,Kenya,7.92,2014,Natural / Dry,10.0,10.0,Sl28,1900.0,Specialty
7.92,7.83,7.83,8.08,7.83,0,7,10.0,Green,Ethiopia,8.0,2015,Natural / Dry,10.0,10.0,Other,1900.0,Specialty
7.92,7.67,8.33,7.92,7.67,0,1,10.0,Green,Uganda,7.92,2013,Washed / Wet,10.0,10.0,Sl14,1600.0,Specialty
8.33,7.67,8.0,8.0,7.83,0,1,10.0,Green,Guatemala,7.83,2013,Washed / Wet,10.0,10.0,Bourbon,1731.264,Specialty
8.17,7.83,7.75,7.83,7.92,0,18,10.0,Green,Ethiopia,7.83,2015,Washed / Wet,10.0,10.0,,1900.0,Specialty
7.67,7.83,8.08,7.83,8.0,0,5,10.0,Green,Uganda,8.0,2013,Washed / Wet,10.0,10.0,Sl14,1950.0,Specialty
7.92,7.75,7.92,7.92,7.75,4,6,10.0,,United States (Hawaii),7.92,2012,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.67,8.0,8.0,8.0,7.75,0,1,10.0,Blue-Green,Brazil,8.0,2011,Semi-Washed / Semi-Pulped,10.0,10.0,Bourbon,1250.0,Specialty
8.08,7.83,8.08,7.83,7.83,0,0,10.0,,El Salvador,7.83,2009 / 2010,,10.0,10.0,,1400.0,Specialty
7.83,8.0,8.0,7.75,7.83,0,0,10.0,Green,China,8.0,2015,Natural / Dry,10.0,10.0,Catimor,1700.0,Specialty
7.67,7.83,7.83,8.58,7.83,0,1,10.0,Green,Guatemala,7.75,2014,Natural / Dry,10.0,10.0,Pacamara,1770.0,Specialty
7.92,8.0,7.92,8.08,8.0,0,0,10.0,Bluish-Green,Costa Rica,8.08,2014,Washed / Wet,9.33,10.0,Caturra,1300.0,Specialty
7.67,7.58,8.0,8.5,8.08,0,2,10.0,Bluish-Green,Costa Rica,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
8.08,7.75,7.83,7.75,7.92,0,2,10.0,Green,Kenya,8.08,2012,Washed / Wet,10.0,10.0,Sl34,1600.0,Specialty
8.08,7.92,8.0,7.75,7.83,0,6,10.0,Green,Kenya,7.92,2012,Washed / Wet,10.0,10.0,Sl34,1200.0,Specialty
8.08,7.92,7.83,7.83,7.75,0,2,10.0,,Ethiopia,7.83,2009/2010,,10.0,10.0,,,Specialty
8.33,7.75,7.92,7.75,7.75,0,3,10.0,,Ethiopia,7.83,2009/2010,,10.0,10.0,Typica,,Specialty
8.0,7.75,8.0,7.83,7.92,0,2,10.0,Green,Guatemala,7.92,2016,,10.0,10.0,Bourbon,,Specialty
8.0,7.83,8.17,7.83,7.58,0,0,10.0,Green,Colombia,7.92,2015,Washed / Wet,10.0,10.0,Caturra,1550.0,Specialty
7.83,7.92,7.58,7.92,8.0,0,2,10.0,Green,Colombia,8.08,2014,Natural / Dry,10.0,10.0,Caturra,1550.0,Specialty
8.0,7.67,7.75,7.83,8.08,0,3,10.0,Green,Indonesia,7.83,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Sumatra Lintong,1325.0,Specialty
7.92,7.67,8.25,7.67,7.75,0,7,10.0,,Guatemala,8.0,2012,Washed / Wet,10.0,10.0,Caturra,1400.0,Specialty
8.0,7.58,7.75,7.92,8.0,0,8,10.0,Green,Ethiopia,8.0,2016,Natural / Dry,10.0,10.0,Other,,Specialty
8.08,7.58,8.17,7.75,8.0,0,0,10.0,,Colombia,7.83,2015,Natural / Dry,10.0,10.0,Caturra,2560.0,Specialty
8.0,7.42,8.42,7.92,7.92,2,7,10.0,Green,Ethiopia,8.0,2014,Natural / Dry,10.0,9.33,,1700.0,Specialty
7.92,7.83,7.58,8.17,7.83,2,2,10.0,Bluish-Green,United States (Hawaii),7.83,2014,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.75,7.75,7.83,7.83,7.83,0,8,10.0,Green,Colombia,8.0,2012,Natural / Dry,10.0,10.0,Caturra,2136.0,Specialty
8.0,7.92,8.08,8.0,8.08,1,7,9.33,,United States (Hawaii),8.17,2010-2011,,10.0,9.33,,,Specialty
8.0,7.83,7.67,7.83,7.92,0,5,10.0,,Ethiopia,8.0,2010,,10.0,10.0,,,Specialty
7.83,8.25,7.5,7.75,7.92,0,0,10.0,,United States (Hawaii),7.92,,,10.0,10.0,,,Specialty
7.75,7.75,8.17,7.75,7.67,0,1,10.0,Green,Uganda,7.92,2016,Washed / Wet,10.0,10.0,Sl14,1800.0,Specialty
7.92,7.75,8.0,7.83,7.75,0,3,10.0,Green,Colombia,7.92,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.92,7.58,7.83,7.83,7.92,1,1,10.0,Green,Costa Rica,8.0,2016,Washed / Wet,10.0,10.0,Catuai,1900.0,Specialty
7.75,7.83,7.83,7.83,7.67,0,3,10.0,Green,Mexico,8.0,2015,Washed / Wet,10.0,10.0,Typica,1300.0,Specialty
7.75,7.92,8.17,7.83,7.67,0,7,10.0,Green,Kenya,7.83,2015,Washed / Wet,10.0,10.0,,,Specialty
8.08,7.75,7.75,7.75,8.0,0,5,10.0,Green,Kenya,7.83,2012,Washed / Wet,10.0,10.0,Sl34,1580.0,Specialty
7.83,7.83,8.0,7.67,7.67,0,3,10.0,Green,Brazil,8.0,2012,Natural / Dry,10.0,10.0,Mundo Novo,1100.0,Specialty
8.08,7.75,7.92,7.83,7.42,0,0,10.0,,Mexico,8.17,2010-2011,,10.0,10.0,Pacamara,1400.0,Specialty
