Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Defects,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,is_specialty
Colombia,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,0.0,11.8,0,0,green,3,1
Taiwan,Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,0.0,10.5,0,0,blue-green,0,1
Laos,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,0.0,10.4,0,0,yellowish,2,1
Costa Rica,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,0.0,11.8,0,0,green,0,1
Colombia,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,0.0,11.6,0,2,yellow-green,2,1
Guatemala,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,0.0,10.7,0,0,green,2,1
Taiwan,Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,0.0,9.1,0,0,green,0,1
Taiwan,Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,0.0,10.0,0,0,yellow green,1,1
Taiwan,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,0.0,10.8,0,0,greenish,0,1
"Tanzania, United Republic Of",Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,0.0,11.0,0,0,greenish,0,1
Ethiopia,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,0.0,11.8,0,1,greenish,1,1
Guatemala,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,0.0,11.5,0,0,brownish,1,1
Taiwan,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,0.0,11.9,0,0,green,0,1
Ethiopia,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,0.0,11.6,0,3,yellow- green,2,1
Colombia,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,0.0,10.6,0,0,green,0,1
Taiwan,SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,0.0,10.2,0,0,green,0,1
Ethiopia,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,0.0,11.3,0,2,green,2,1
Taiwan,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,0.0,10.3,0,0,yellow-green,0,1
Taiwan,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,0.0,11.0,0,0,brownish,1,1
"Tanzania, United Republic Of",Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,0.0,10.0,0,0,greenish,0,1
Guatemala,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,0.0,11.6,0,0,yellowish,0,1
Taiwan,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,0.0,10.4,0,0,green,0,1
Thailand,Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,0.0,9.8,0,0,browish-green,5,1
Taiwan,SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,0.0,10.6,0,0,bluish-green,0,1
Taiwan,Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,0.0,9.1,0,0,green,2,1
Taiwan,Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,0.0,10.6,0,0,green,0,1
Taiwan,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,0.0,10.2,0,0,blue-green,0,1
United States (Hawaii),Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,0.0,9.3,0,0,green,0,1
Taiwan,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,0.0,11.4,0,0,bluish-green,0,1
Taiwan,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,0.0,10.8,0,0,green,0,1
Taiwan,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,0.0,11.3,0,0,green,0,1
Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,0.0,9.9,0,2,green,3,1
Ethiopia,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,0.0,12.3,0,3,yellow green,4,1
Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,0.0,9.4,0,1,greenish,1,1
Taiwan,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,0.0,9.5,0,0,bluish-green,0,1
Taiwan,Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,0.0,11.3,0,0,green,0,1
Kenya,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,0.0,9.2,0,0,greenish,1,1
Taiwan,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,0.0,10.3,0,0,bluish-green,0,1
Taiwan,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0.0,10.0,0,0,brownish,0,1
Taiwan,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,0.0,10.5,0,0,greenish,0,1
Taiwan,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,0.0,10.0,0,0,pale yellow,5,1
Uganda,SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,0.0,11.0,0,0,green,1,1
Taiwan,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,0.0,10.1,0,0,yellow green,0,1
Guatemala,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,0.0,9.9,0,1,green,1,1
Guatemala,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,0.0,11.3,0,0,green,4,1
Guatemala,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,0.0,11.7,0,3,green,1,1
Taiwan,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,0.0,9.5,0,0,green,2,1
Taiwan,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0.0,9.7,0,0,brownish,0,1
Peru,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,0.0,10.7,0,0,greenish,0,1
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,0.0,11.2,0,0,greenish,0,1
Taiwan,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,0.0,9.5,0,0,greenish,0,1
Taiwan,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,0.0,10.4,0,0,green,0,1
Brazil,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,0.0,11.2,0,1,green,5,1
Panama,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,0.0,10.3,0,1,bluish-green,5,1
Taiwan,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,0.0,10.0,0,0,blue-green,0,1
Guatemala,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,0.0,10.6,0,0,green,1,1
Guatemala,Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,0.0,10.9,0,3,yellow-green,2,1
Costa Rica,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,0.0,10.0,0,1,green,2,1
Taiwan,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.0,9.6,0,0,greenish,0,1
Taiwan,Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,0.0,11.5,0,0,green,0,1
Nicaragua,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,0.0,9.9,1,0,green,2,1
Taiwan,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,0.0,11.2,0,0,green,2,1
Taiwan,SL34,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,0.0,10.3,0,0,green,0,1
Vietnam,Catimor,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,0.0,11.6,0,0,brownish,0,1
Costa Rica,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,0.0,11.7,0,1,green,0,1
Taiwan,unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,0.0,11.3,0,0,bluish-green,0,1
Honduras,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.0,9.8,0,0,green,3,1
Ethiopia,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,0.0,10.9,0,0,green,9,1
Taiwan,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,0.0,10.2,0,0,green,0,1
Taiwan,Gesha,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,0.0,10.1,0,0,bluish-green,1,1
Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,0.0,9.2,0,1,green,5,1
United States (Hawaii),Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,0.0,10.1,3,0,yellow-green,7,1
Ethiopia,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,0.0,11.0,0,5,yellow green,4,1
El Salvador,Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0.0,10.3,0,0,brownish,4,1
Colombia,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,0.0,11.6,0,0,green,1,1
Indonesia,"Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,0.0,11.5,0,1,blue-green,1,1
Guatemala,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,0.0,10.0,0,0,green,1,1
Madagascar,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,0.0,12.1,0,0,blue-green,0,1
Honduras,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,0.0,10.2,0,0,green,2,1
Guatemala,Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,0.0,11.0,0,3,green,2,1
Taiwan,unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,0.0,10.8,0,0,greenish,2,1
Taiwan,Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,0.0,10.6,0,0,yello-green,0,1
Guatemala,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,0.0,11.0,0,1,green,2,1
Guatemala,Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,0.0,11.0,0,2,green,2,1
Honduras,Typica,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,0.0,9.4,0,0,green,0,1
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.0,9.8,0,0,greenish,3,1
Ethiopia,Ethiopian Heirlooms,Washed / Wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,0.0,11.3,1,1,green,1,1
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,0.0,11.6,0,0,greenish,2,1
Colombia,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,0.0,13.3,0,2,green,3,1
Costa Rica,Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,0.0,9.5,0,0,green,2,1
