Country of Origin,Altitude,Harvest Year,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Category One Defects,Color,Category Two Defects,Specialty
Colombia,1700-1930,2021 / 2022,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,0,green,3,Specialty
Taiwan,1200,2021 / 2022,Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,0,blue-green,0,Specialty
Laos,1300,2021 / 2022,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,0,yellowish,2,Specialty
Costa Rica,1900,2022,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,0,green,0,Specialty
Colombia,1850-2100,2022,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,0,yellow-green,2,Specialty
Guatemala,1668,2022,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,1250,2021 / 2022,Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,1200,2021 / 2022,Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,0,yellow green,1,Specialty
Taiwan,1250,2021 / 2022,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,0,greenish,0,Specialty
"Tanzania, United Republic Of",1400-1700,2022 / 2023,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,0,greenish,0,Specialty
Ethiopia,1800-2200,2021 / 2022,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,0,greenish,1,Specialty
Guatemala,2000,2021,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,0,brownish,1,Specialty
Taiwan,1250,2021 / 2022,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,0,green,0,Specialty
Ethiopia,1900-2000,2021 / 2022,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,0,yellow- green,2,Specialty
Colombia,1850,2021 / 2022,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,1100,2021 / 2022,SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,0,green,0,Specialty
Ethiopia,1900-2100,2022,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,1300,2022,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,0,yellow-green,0,Specialty
Taiwan,1200,2021 / 2022,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,0,brownish,1,Specialty
"Tanzania, United Republic Of",1570-1600,2022 / 2023,Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,0,greenish,0,Specialty
Guatemala,1900,2021 / 2022,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,0,yellowish,0,Specialty
Taiwan,850,2022,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,0,green,0,Specialty
Thailand,1500-1700,2021 / 2022,Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,0,browish-green,5,Specialty
Colombia,1350,2022,Castillo Paraguaycito,,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,0,brownish,2,Specialty
Taiwan,1250,2021 / 2022,SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,0,bluish-green,0,Specialty
Brazil,1250,2022,,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,2,green,3,Specialty
Taiwan,1300,2021 / 2022,Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,1200,2021 / 2022,Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,1060,2021 / 2022,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,0,blue-green,0,Specialty
United States (Hawaii),600,2021 / 2022,Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,150-250,2022,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,0,bluish-green,0,Specialty
Taiwan,150-250,2022,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,668,2022,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,0,green,0,Specialty
Ethiopia,1950,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,0,green,3,Specialty
Ethiopia,2150 - 2350,2021 / 2022,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,0,yellow green,4,Specialty
Ethiopia,1700,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,0,greenish,1,Specialty
Taiwan,1200,2021 / 2022,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,0,bluish-green,0,Specialty
Taiwan,650,2022,Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,0,green,0,Specialty
Kenya,1600-1900,2022 / 2023,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,0,greenish,1,Specialty
Taiwan,850,2017 / 2018,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,0,bluish-green,0,Specialty
Taiwan,300-500,2022,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0,brownish,0,Specialty
Taiwan,1000,2021 / 2022,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,0,greenish,0,Specialty
Taiwan,800,2021 / 2022,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,0,pale yellow,5,Specialty
Uganda,1905,2021 / 2022,SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,0,green,1,Specialty
Taiwan,150,2021 / 2022,Typica,,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,800,2021 / 2022,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,0,yellow green,0,Specialty
Guatemala,1600,2022 / 2023,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,0,green,1,Specialty
Guatemala,4700,2022 / 2023,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,0,green,4,Specialty
Guatemala,1600,2021 / 2022,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,0,green,1,Specialty
Taiwan,350-400,2021 / 2022,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,230,2021 / 2022,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0,brownish,0,Specialty
Indonesia,1200,2022,Catimor,,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,0,bluish-green,2,Specialty
Peru,1750,2022,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,0,greenish,0,Specialty
"Tanzania, United Republic Of",1654,2022 / 2023,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,0,greenish,0,Specialty
Taiwan,1300,2021 / 2022,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,0,greenish,0,Specialty
Taiwan,1400,2021 / 2022,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,0,green,0,Specialty
Brazil,1100,2022,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,0,green,5,Specialty
